ID	Gene Name	UniProt ID	Species	Drug IDs
2123	RB1	P06400	Humans	DB00030; DB00071
2124	PCSK2	P16519	Humans	DB00071
2125	PCSK1	P29120	Humans	DB00071
2126	IGFBP7	Q16270	Humans	DB00071
2127	SYTL4	Q96C24	Humans	DB00071
2128	HPN	P05981	Humans	DB00036
2129	NRP1	O14786	Humans	DB00039; DB04895
2130	COL3A1	P02461	Humans	DB00048
2131	FGFR1	P11362	Humans	DB00039; DB00398; DB01109; DB08896; DB08901; DB09078; DB09079; DB12010; DB12147
2133	FGFR3	P22607	Humans	DB00039; DB06589; DB08901; DB09078; DB09079; DB12010; DB12147
2134	GLP2R	O95838	Humans	DB00040; DB08900
2135	CTSL	P07711	Humans	DB12010
2136	VAMP1	P23763	Humans	DB00042
2137	VAMP2	P63027	Humans	DB00042
2138	SYT2	Q8N9I0	Humans	DB00042
2139	MS4A2	Q01362	Humans	DB00043
2140	COL2A1	P02458	Humans	DB00048
2141	COL1A2	P08123	Humans	DB00048
2142	SERPINB6	P35237	Humans	DB00055
2143	PPP3R2	Q96LZ3	Humans	DB00091
2145	SPARC	P09486	Humans	DB11093; DB11348; DB14481
2147	SSTR5	P35346	Humans	DB00104; DB06663; DB06791; DB09099; DB13985; DB15494
2149	PROSC	O94903	Humans	DB00114
2150	PYGB	P11216	Humans	DB00114
2151	DDC	P20711	Humans	DB00114; DB00190; DB00968; DB12783
2152	GIG18	Q2TU84	Humans	DB00114; DB00128; DB00142
2154		Q53ET4	Humans	DB00114; DB00145
2155		Q59FK2	Humans	DB00114
2156		Q59GM9	Humans	DB00114
2157		Q59HE2	Humans	DB00114
2158	ALAS1	Q5JAM2	Humans	DB00114
2159	GAD2	Q5VZ30	Humans	DB00114
2160	DDC	Q6IBS8	Humans	DB00114
2161	PDXDC1	Q6P996	Humans	DB00114
2162	CCBL2	Q6YP21	Humans	DB00114; DB00142
2163	GADL1	Q6ZQY3	Humans	DB00114
2164	PHYKPL	Q8IUZ5	Humans	DB00114
2165	GAD1	Q8IVA8	Humans	DB00114
2166	GPT2	Q8TD30	Humans	DB00114; DB00142; DB00780
2167	MOCOS	Q96EN8	Humans	DB00114
2168	SDSL	Q96GA7	Humans	DB00114
2170		Q9BXA1	Humans	DB00114
2171	SEPSECS	Q9HD40	Humans	DB00114
2172	SPTLC3	Q9NUV7	Humans	DB00114
2173	GAD65	Q9UGI5	Humans	DB00114; DB00780
2174	TLH6	Q9UJX1	Humans	DB00114
2175	MMACHC	Q9Y4U1	Humans	DB00115; DB00200
2176	MTHFR	P42898	Humans	DB00115
2179	PLD2	O14939	Humans	DB00122; DB14006
2180	BCHE	P06276	Humans	DB00122; DB00382; DB00449; DB00545; DB00674; DB00677; DB00733; DB00772; DB00843; DB00941; DB00944; DB00989; DB01010; DB01057; DB01221; DB01226; DB14006
2181	PLD1	Q13393	Humans	DB00122; DB14006
2186	PHOSPHO1	Q8TCT1	Humans	DB00122; DB14006
2189	GSTA2	P09210	Humans	DB00143; DB00608
2192	PLOD2	O00469	Humans	DB00126
2193	TYMP	P19971	Humans	DB09343
2194	FAAH	O00519	Humans	DB00599; DB12010
2195	PLOD3	O60568	Humans	DB00126; DB00139
2196	MAOB	P27338	Humans	DB00182; DB00191; DB00752; DB00780; DB00909; DB01037; DB01132; DB01171; DB01247; DB01367; DB01577; DB01626; DB03147; DB04820; DB04821; DB04832; DB06654
2197	BBOX1	O75936	Humans	DB00126; DB00139
2198	MAOA	P21397	Humans	DB00191; DB00752; DB00780; DB00805; DB00909; DB01037; DB01171; DB01247; DB01577; DB01626; DB03147; DB04820; DB04821; DB04832
2200	PAM	P19021	Humans	DB00126
2202	P3H1	Q32P28	Humans	DB00126; DB00139
2203	OGFOD2	Q6N063	Humans	DB00126
2204	XDH	P47989	Humans	DB00437; DB00583; DB03147; DB04854
2205	ALKBH2	Q6NS38	Humans	DB00126
2206	P3H2	Q8IVL5	Humans	DB00126; DB00139
2208	P3H3	Q8IVL6	Humans	DB00126; DB00139
2210	OGFOD1	Q8N543	Humans	DB00126
2211	EGLN2	Q96KS0	Humans	DB00126
2212	CDK6	Q00534	Humans	DB09073; DB11730; DB12001
2213	ALKBH3	Q96Q83	Humans	DB00126
2214	ADA	P00813	Humans	DB00552; DB00975
2215	KDM5D	Q9BY66	Humans	DB00126
2216	CDK4	P11802	Humans	DB09073; DB11730; DB12001; DB12010
2217	EGLN1	Q9GZT9	Humans	DB00126; DB01592; DB14488; DB14489; DB14490; DB14491; DB14501
2218	KCNJ5	P48544	Humans	DB00898
2219	EGLN3	Q9H6Z9	Humans	DB00126
2221	TMLHE	Q9NVH6	Humans	DB00126; DB00139
2223	P4HTM	Q9NXG6	Humans	DB00126
2225	PAICS	P22234	Humans	DB00128
2226	CACNA1B	Q00975	Humans	DB00381; DB00661; DB01202
2227	CAD	P27708	Humans	DB00128
2228	ADSS	P30520	Humans	DB00128
2229	DARS2	Q6PI48	Humans	DB00128
2230	ASRGL1	Q7L266	Humans	DB00128; DB00174
2231	ADSSL1	Q8N142	Humans	DB00128
2232	ACY3	Q96HD9	Humans	DB00128
2233	OAZ2	O95190	Humans	DB00129
2234	OAZ3	Q9UMX2	Humans	DB00129
2235	PFAS	O15067	Humans	DB00142
2237	GATB	O75879	Humans	DB00142
2240	GLUL	P15104	Humans	DB00130; DB00142
2244	NADSYN1	Q6IA69	Humans	DB00142
2246	FADS2	O95864	Humans	DB00132
2247	ELOVL4	Q9GZR5	Humans	DB00132; DB09568
2249	BHMT2	Q9H2M3	Humans	DB00134
2251	SLC7A9	P82251	Humans	DB00138
2252	SDHD	O14521	Humans	DB00139; DB00756
2253	P4HA2	O15460	Humans	DB00139
2254	SDHB	P21912	Humans	DB00139
2255	SUCLG1	P53597	Humans	DB00139
2256	OXCT1	P55809	Humans	DB00139
2257	SDHC	Q99643	Humans	DB00139
2258	SUCNR1	Q9BXA5	Humans	DB00139
2259	OXCT2	Q9BYC2	Humans	DB00139
2260	SUCLA2	Q9P2R7	Humans	DB00139
2261	SLC25A10	Q9UBX3	Humans	DB00139
2262	B4GALT3	O60512	Humans	DB00141
2263	B4GALT4	O60513	Humans	DB00141
2264	B4GALT2	O60909	Humans	DB00141
2265	NAGK	Q9UJ70	Humans	DB00141
2266	NAGPA	Q9UK23	Humans	DB00141
2267	SLC1A7	O00341	Humans	DB00142
2268	OPLAH	O14841	Humans	DB00142
2269	GRID2	O43424	Humans	DB00142
2270	SLC1A6	P48664	Humans	DB00142
2271	ENPEP	Q07075	Humans	DB00142
2272	EARS2	Q5JPH6	Humans	DB00142
2273	LGSN	Q5TDP6	Humans	DB00142
2274	NAGS	Q8N159	Humans	DB00142
2275	SLC25A18	Q9H1K4	Humans	DB00142
2276	SLC25A22	Q9H936	Humans	DB00142
2277	DNPEP	Q9ULA0	Humans	DB00142
2278	GRID1	Q9ULK0	Humans	DB00142
2279	MGST3	O14880	Humans	DB00143
2280	TXNDC12	O95881	Humans	DB00143
2281	GSTA1	P08263	Humans	DB00143
2282	MGST1	P10620	Humans	DB00143
2283	ESD	P10768	Humans	DB00143
2284	GLRX	P35754	Humans	DB00143
2285	GSTM5	P46439	Humans	DB00143
2286	GPX6	P59796	Humans	DB00143
2287	GPX1	Q6NSD4	Humans	DB00143
2288	GPX8	Q8TED1	Humans	DB00143
2289	GPX7	Q96SL4	Humans	DB00143
2290	MGST2	Q99735	Humans	DB00143
2291	GSTO2	Q9H4Y5	Humans	DB00143
2292	GLRX2	Q9NS18	Humans	DB00143
2296	DGKG	P49619	Humans	DB00144
2297	DGKD	Q16760	Humans	DB00144
2299	PTDSS2	Q9BVG9	Humans	DB00144
2300	SMPD4	Q9NXE4	Humans	DB00144
2301	SMPD3	Q9NY59	Humans	DB00144
2302	GCSH	P23434	Humans	DB00145
2303	BAAT	Q14032	Humans	DB00145
2304	GPR18	Q14330	Humans	DB00145; DB09061
2305	GLYAT	Q6IB77	Humans	DB00145
2306	GLYATL2	Q8WU03	Humans	DB00145
2307	GLYATL1	Q969I3	Humans	DB00145
2308	SLC32A1	Q9H598	Humans	DB00145
2309	PIPOX	Q9P0Z9	Humans	DB00145
2310	SLC6A5	Q9Y345	Humans	DB00145
2311	WARS2	Q9UGM6	Humans	DB00150
2312	CARS2	Q9HA77	Humans	DB00151
2313	PADI6	Q6TGC4	Humans	DB00155
2314	PADI1	Q9ULC6	Humans	DB00155
2315	PADI3	Q9ULW8	Humans	DB00155
2316	PADI2	Q9Y2J8	Humans	DB00155
2317	TARS2	Q9BW92	Humans	DB00156
2319	DHRS3	O75911	Humans	DB00162
2320	RETSAT	Q6NUM9	Humans	DB00162
2321	RDH11	Q8TC12	Humans	DB00162
2322	RDH14	Q9HBH5	Humans	DB00162
2323	RDH8	Q9NYR8	Humans	DB00162
2324	DGKA	P23743	Humans	DB00163; DB14001; DB14002
2325	PPP2CB	P62714	Humans	DB00163; DB14001; DB14002
2326	PPP2CA	P67775	Humans	DB00163; DB14001; DB14002
2327	LIAS	O43766	Humans	DB00166
2329	VKORC1L1	Q8N0U8	Humans	DB00170
2338	NARS2	Q96I59	Humans	DB00174
2340	GABBR2	O75899	Humans	DB00181; DB02530
2341	CHRNA7	P36544	Humans	DB00122; DB00184; DB00237; DB00241; DB00306; DB00312; DB00333; DB00418; DB00514; DB00599; DB00657; DB00674; DB00794; DB00849; DB00898; DB00915; DB01174; DB01199; DB01273; DB01351; DB01353; DB03128; DB09061; DB14006
2343	CHRNA9	Q9UGM1	Humans	DB00184; DB00674; DB00898
2344	GABRB1	P18505	Humans	DB00231; DB00431; DB00690; DB00801; DB00829; DB00842; DB00897; DB00898; DB01215; DB01440; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595
2345	GABRB3	P28472	Humans	DB00231; DB00431; DB00592; DB00602; DB00690; DB00801; DB00818; DB00829; DB00842; DB00897; DB00898; DB01215; DB01544; DB01558; DB01559; DB01588; DB01589; DB01595; DB06716
2346	GABRB2	P47870	Humans	DB00231; DB00395; DB00690; DB00801; DB00818; DB00829; DB00842; DB00897; DB00898; DB01215; DB01381; DB01558; DB01559; DB01588; DB01595; DB06716
2347	PSMB1	P20618	Humans	DB00188; DB08889
2348	PSMB5	P28074	Humans	DB00188; DB08889
2349	PSMB2	P49721	Humans	DB08889
2350		P03198	HHV-4	DB00194
2352	cft	Q9F0I5	Paenibacillus macerans	DB00638
2353	PDE4C	Q08493	Humans	DB00651; DB01088; DB01656; DB05219
2354	CACNB2	Q08289	Humans	DB00270; DB00393; DB00401; DB00622; DB00653; DB01023; DB01054; DB01115; DB04855; DB06712
2355	CACNA1S	Q13698	Humans	DB00270; DB00393; DB00401; DB00568; DB00653; DB00898; DB01023; DB01054; DB01115; DB04855; DB04920; DB06712; DB09090
2356	CACNB4	O00305	Humans	DB00393; DB04855
2357	CACNA1F	O60840	Humans	DB00393; DB00568; DB04855; DB04920
2358	CACNB3	P54284	Humans	DB00393; DB04855
2359	CACNA1D	Q01668	Humans	DB00270; DB00393; DB00401; DB00568; DB00622; DB00898; DB01023; DB01054; DB01115; DB04855; DB04920; DB06712; DB09237
2360		Q27738	Plasmodium falciparum	DB00359; DB00664; DB01145; DB01299; DB06147
2361	ydbK	P52647	Escherichia coli (strain K12)	DB00698
2362	CYP3A5	P20815	Humans	DB09061
2363	CYP2D6	P10635	Humans	DB09061; DB11994
2364	POR	P16435	Humans	DB03147; DB03247
2365	HDAC1	Q13547	Humans	DB01169; DB01593; DB02546; DB06176; DB08868; DB14487; DB14533
2366	HDAC2	Q92769	Humans	DB00175; DB00227; DB00277; DB00313; DB00641; DB01076; DB01095; DB01223; DB01303; DB02546; DB06176; DB09091
2367	HDAC3	O15379	Humans	DB02546
2368	HDAC6	Q9UBN7	Humans	DB02546; DB06176; DB13346
2370	CALCB	P10092	Humans	DB14041; DB14042
2374	HIF1A	Q16665	Humans	DB01136; DB01275
2375	PTGER3	P43115	Humans	DB00905; DB00917; DB00929; DB08964; DB11113
2378	OPRL1	P41146	Humans	DB00921
2379	PIK3CA	P42336	Humans	DB00201; DB12015; DB12483
2383	PIK3R2	O00459	Humans	DB01064
2384	PIK3R3	Q92569	Humans	DB01064
2385	PRKDC	P78527	Humans	DB00201
2386	MTOR	P42345	Humans	DB00337; DB00877; DB01590; DB06287; DB12010
2387	NFKB2	Q00653	Humans	DB01296
2388	gyrB	P0A0K8	Staphylococcus aureus	DB01051
2389	RHD	A6PZ59	Humans	DB11597
2390	SOD1	P00441	Humans	DB00988; DB01064; DB01593; DB09061; DB14487; DB14533
2391	mecA	Q7DHH4	Staphylococcus aureus	DB04918
2392	pbpX	P14677	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	DB01150; DB04918
2393	ftsI	P0AD68	Escherichia coli (strain K12)	DB00267; DB00274; DB00303; DB00430; DB00438; DB01327; DB01328; DB01329; DB01331; DB01332; DB01413; DB01415; DB01416; DB04918
2395	CDC60	Q9HGT2	Yeast	DB09041
2396	CACNA2D2	Q9NY47	Humans	DB00270; DB00996; DB01023; DB01054; DB01118; DB01244; DB08872
2397	FURIN	P09958	Humans	DB04951
2398	KCNQ3	O43525	Humans	DB00321; DB00939; DB00996; DB04953
2399	KCNQ4	P56696	Humans	DB04953
2400	KCNQ5	Q9NR82	Humans	DB00996; DB04953
2402	RPSA	P08865	Humans	DB09130
2403	NS5b	O39930	Hepatitis C Virus	DB08934
2406	PIK3CD	O00329	Humans	DB00201; DB09054; DB11952; DB12010; DB12483
2407	PIK3CB	P42338	Humans	DB00201
2408	JAK2	O60674	Humans	DB08877; DB08895; DB11817; DB11986; DB12010; DB12500; DB15035
2411	RET	P07949	Humans	DB00398; DB05294; DB08875; DB08896; DB08901; DB09078; DB12010
2416	HLA-DRB1	P04229	Humans	DB05259
2417	PRKCD	Q05655	Humans	DB05013; DB12010
2419	NPY2R	P49146	Humans	DB00847
2420	IL4R	P24394	Humans	DB12159
2422	GLA	P06280	Humans	DB05018
2425	TOP2B	Q02880	Humans	DB00380; DB00694; DB00773
2426	NPR3	P17342	Humans	DB04899
2427	S gene	Q69600	HBV	DB05276
2431	FBP1	P09467	Humans	DB00131
2432	S1PR5	Q9H228	Humans	DB08868; DB12371
2433	CYP1A2	P05177	Humans	DB00951; DB09061; DB11994
2436	HNMT	P50135	Humans	DB00613; DB00878
2437	CA9	Q16790	Humans	DB00562; DB00774; DB00909; DB09460
2440	KLKB1	P03952	Humans	DB01593; DB05311; DB06404; DB09228; DB14487; DB14533; DB14597
2441	KCNJ8	Q15842	Humans	DB00914; DB00922; DB01154; DB01251
2442	TLR4	O00206	Humans	DB00924; DB01183; DB03017; DB11193; DB13615
2446	EPCAM	P16422	Humans	DB06607; DB09336; DB11075
2447	MC1R	Q01726	Humans	DB04931; DB11653
2449	TERT	O14746	Humans	DB00495
2450	RRM2	P31350	Humans	DB00242; DB05260
2453	EPHB4	P54760	Humans	DB01254; DB12010
2458	SERPING1	P05155	Humans	DB09130
2459	KRT7	P08729	Humans	DB01087
2464	rplV	P61177	Escherichia coli O157:H7	DB01369
2467	P4HB	P07237	Humans	DB01593; DB03615; DB09130; DB14487; DB14533
2468	VDAC1	P21796	Humans	DB09061
2475	dacA	P0AEB3	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	DB01147
2476	HTATIP2	Q9BUP3	Humans	DB11077
2477		Q14081	Humans	DB13979
2480	PTGES3	Q15185	Humans	DB00316; DB09130
2486	GDNF	P39905	Humans	DB09301
2488	HGPRTase	Q27796	Trypanosoma cruzi	DB01632
2489	trpD	Q8VP84	Erwinia carotovora	DB01632
2493	rmlA	Q9HU22	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	DB04272
2499	onr	P71278	Enterobacter cloacae	DB03247
2512	mmaA2	Q79FX6	Mycobacterium tuberculosis	DB01718
2517	TRDMT1	O14717	Humans	DB00738; DB09462
2545	guaA	P04079	Escherichia coli (strain K12)	DB04272
2551		Q9WZW1	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	DB03247; DB04272
9087	glnA1	P9WN39	Mycobacterium tuberculosis	DB04272
9088	glnA1	P9WN38	Mycobacterium tuberculosis	DB04272
2565	dhaB1	Q8GEZ8	Clostridium butyricum	DB01839
9090	aac	P9WQG9	Mycobacterium tuberculosis	DB03615
2576	fprA	Q9FDN7	Moorella thermoacetica (strain ATCC 39073)	DB03247
2577	azoR	P41407	Escherichia coli (strain K12)	DB02325; DB03247
2580	dps	Q8UCK6	Agrobacterium tumefaciens (strain C58 / ATCC 33970)	DB03754
2596	bphA4	Q52437	Pseudomonas sp. (strain KKS102)	DB03147
2597	npr	P37062	Enterococcus faecalis (strain ATCC 700802 / V583)	DB03147
2611	nadD	P0A753	Shigella flexneri	DB04272
2616	lpdV	P09063	Pseudomonas putida	DB03147
2619	pheA2	Q9LAG2	Bacillus thermoglucosidasius	DB03147
2629	frp	Q56691	Vibrio harveyi	DB03247
2638	CYP3A4	P08684	Humans	DB00143; DB00951
2639	AMY2A	P04746	Humans	DB00284; DB03088
2641	CASK	O14936	Humans	DB12010
2652	GPHN	Q9NQX3	Humans	DB03766
2653		Q81F54	Bacillus cereus (strain ATCC 14579 / DSM 31)	DB04272
2659	GST	Q8MU52	Plasmodium falciparum	DB00608
2674	por	P94692	Desulfovibrio africanus	DB00507; DB01987
2677		Q9R381	Salmonella enteritidis	DB03615
2685	cit	Q9LCX9	Thermus thermophilus	DB04272
2690	gltA	O34002	Antarctic bacterium DS2-3R	DB04272
2705	CES1	P23141	Humans	DB00382; DB00454; DB00583; DB00647; DB00907; DB01183; DB01452; DB01599; DB02659; DB04838
2706	ptd	Q8RLY5	Lactobacillus helveticus	DB00173
2710		P00323	Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)	DB03247
2718	blaCTX-M-9a	Q9L5C8	Escherichia coli	DB02772
2722	nusG	O67757	Aquifex aeolicus (strain VF5)	DB02325
2723	GDF5	P43026	Humans	DB02325
2724		P06312	Humans	DB02325
2725	pelA	Q9X592	Azospirillum irakense	DB02325
2726	gag	P05893	SIV-mac	DB02325
2727	sdbA	P71143	Clostridium thermocellum	DB02325
2728		Q8YWS4	Nostoc sp. (strain PCC 7120 / UTEX 2576)	DB02325
2729		Q9WZD5	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	DB02325
2742	cumD	P96965	Pseudomonas fluorescens	DB03766; DB03793
2755	mutY	P17802	Escherichia coli (strain K12)	DB00173; DB09462
2757	yfiH	P33644	Escherichia coli (strain K12)	DB04272
2766	xlnA	P26514	Streptomyces lividans	DB04465
2774		Q7SID9	Brevibacterium sterolicum	DB03147
2788	sacB	P05655	Bacillus subtilis (strain 168)	DB02772
2791	PECR	Q9BY49	Humans	DB00173
2792	ruvB	Q5SL87	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	DB00173
2793	CYP2C9	P11712	Humans	DB11994
2796	acuC1	O67135	Aquifex aeolicus (strain VF5)	DB02546
2802	nir	O68601	Alcaligenes xylosoxydans xylosoxydans	DB03088
2804	DCK	P27707	Humans	DB01073
2815	IGHG1	P01857	Humans	DB09130
2829	bgl3	Q59976	Streptomyces sp.	DB02772
2830	ams	Q9ZEU2	Neisseria polysaccharea	DB02772
9851		Q939N4	Escherichia coli	DB02772; DB09060; DB12107; DB12377
9854	blaCTX-M-14	Q9L5C7	Escherichia coli	DB02772; DB09060; DB12107; DB12377
9857	blaCTX-M-27	Q840M4	Escherichia coli	DB02772; DB09060; DB12107; DB12377
2832	hmuO	P71119	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)	DB02772
2833	ATOX1	O00244	Humans	DB00515; DB02772
2834		P83689	Arthrospira maxima	DB02772
2835	scrY	P22340	Salmonella typhimurium	DB02772
2843		Q9KQN0	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	DB02893
2849	gltS	P55038	Synechocystis sp. (strain PCC 6803 / Kazusa)	DB03247
2854	APOH	P02749	Humans	DB09130
2857	AZGP1	P25311	Humans	DB09130
2859	IL6R	P08887	Humans	DB06273; DB11767
2881	ifcA	Q9Z4P0	Shewanella frigidimarina (strain NCIMB 400)	DB03147
2887	CYP2C8	P10632	Humans	DB00951; DB03796
2913	cycA	P00091	Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009)	DB03088
2917	hmp	P24232	Escherichia coli (strain K12)	DB03147
2929	ppcA	Q8GGK7	Geobacter sulfurreducens	DB03619
2930		P83787	Marinobacter hydrocarbonoclasticus	DB04272
2938		Q06319	Megasphaera elsdenii	DB03147
2939		P01709	Humans	DB03088
2940		Q7SIE2	Bacillus agaradhaerens	DB03088
2941	CCL8	P80075	Humans	DB03088
2942		P00138	Alcaligenes xylosoxydans xylosoxydans	DB03088
2950	S100A6	P06703	Humans	DB11093; DB11348; DB14481
2953	ITEVIR	P13299	Enterobacteria phage T4	DB04272
2961	dmg	Q9AGP8	Arthrobacter globiformis	DB03147
2962	petH	P21890	Anabaena sp. (strain PCC 7119)	DB03147
2963	cysJ	P38038	Escherichia coli (strain K12)	DB03147
2964	fpr	Q44532	Azotobacter vinelandii	DB03147
2965		P18925	Azotobacter vinelandii	DB03147
2966		Q888A4	Pseudomonas syringae pv. tomato (strain DC3000)	DB03147
2967	phrB	P00914	Escherichia coli (strain K12)	DB03147
2968	phr	P05327	Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)	DB03147
2969	nadB	P10902	Escherichia coli (strain K12)	DB03147
2970	cry	P77967	Synechocystis sp. (strain PCC 6803 / Kazusa)	DB03147
2971	murB	P08373	Escherichia coli (strain K12)	DB03147
2972	murB	P61432	Staphylococcus aureus (strain MW2)	DB03147
2973	metF	Q9RA47	Thermus thermophilus	DB03147
2974	camA	P16640	Pseudomonas putida	DB03147
9102	lpdA	P9WHH7	Mycobacterium tuberculosis	DB03147
9103	glf	P9WIQ1	Mycobacterium tuberculosis	DB03147
2977	abfD	P55792	Clostridium aminobutyricum	DB03147
2978	pchF	P09788	Pseudomonas putida	DB03147
2979	ahpF	P19480	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	DB03147
2980	m-6	Q51225	Neisseria meningitidis	DB03147
2981	GR2	Q94655	Plasmodium falciparum (isolate K1 / Thailand)	DB03147
2982	pamO	Q47PU3	Thermobifida fusca (strain YX)	DB03147
2983	benC	P07771	Acinetobacter sp. (strain ADP1)	DB03147
2984		Q72JJ3	Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039)	DB03147
2985	fkbI	Q9KIE5	Streptomyces hygroscopicus subsp. ascomyceticus	DB03147
2986	lpd	P14218	Pseudomonas fluorescens	DB03147
2987	ahpF	P35340	Escherichia coli (strain K12)	DB03147
2988	petH	P58558	Nostoc sp. (strain PCC 7120 / UTEX 2576)	DB03147
2989	fpr	P28861	Escherichia coli (strain K12)	DB03147
2990	mrsD	Q9RC23	Bacillus sp. (strain HIL-Y85/54728)	DB03147
2994	rocF	P53608	Bacillus caldovelox	DB00536
2996	phzG	O69755	Pseudomonas aeruginosa	DB03247
3003	PPI	Q9S427	Shewanella sp.	DB05260
3018	azoR	P63462	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	DB03247
3019	epiD	P30197	Staphylococcus epidermidis	DB03247
3020	aroC	P56122	Helicobacter pylori (strain ATCC 700392 / 26695)	DB03247
3021	isiB	P0A3D9	Nostoc sp. (strain PCC 7120 / UTEX 2576)	DB03247
3022	isiB	P10340	Synechococcus elongatus (strain PCC 7942)	DB03247
3023		Q8DW21	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)	DB03247
3024	moxC	O34974	Bacillus subtilis (strain 168)	DB03247
3025		Q9WXV1	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	DB03247
3026	nrdI	P50618	Bacillus subtilis (strain 168)	DB03247
3027	ecdB	P69772	Escherichia coli O157:H7	DB03247
3028	mdlB	P20932	Pseudomonas putida	DB03247
3029	azr	O07529	Bacillus subtilis (strain 168)	DB03247
3030	fldA	Q9ZK53	Helicobacter pylori (strain J99 / ATCC 700824)	DB03247
3031	nfsB	Q01234	Enterobacter cloacae	DB03247; DB03793
3032	fni	Q746I8	Thermus thermophilus (strain HB27 / ATCC BAA-163 / DSM 7039)	DB03247
3033	tmd	P16099	Methylophilus methylotrophus	DB03247
3034	roo	Q9F0J6	Desulfovibrio gigas	DB03247
3035	morB	Q51990	Pseudomonas putida	DB03247
3036	phzG	Q51793	Pseudomonas fluorescens	DB03247
3037		Q9RYU4	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)	DB03247
3038	fldA	P61949	Escherichia coli (strain K12)	DB03247
3039	fni	P50740	Bacillus subtilis (strain 168)	DB03247
3040	nox	Q60049	Thermus thermophilus (strain HB8 / ATCC 27634 / DSM 579)	DB03247
3041		Q46604	Desulfovibrio vulgaris (strain Miyazaki F / DSM 19637)	DB03247
3042		Q81EW9	Bacillus cereus (strain ATCC 14579 / DSM 31)	DB03247
3043	PPCDC	Q96CD2	Humans	DB03247
3072		Q7SI98	Streptomyces olivaceoviridis	DB04465
3074	CBR1	P16152	Humans	DB01698; DB02709; DB11672
3089	clpX	O25926	Helicobacter pylori (strain ATCC 700392 / 26695)	DB09275
3090	PTK2	Q05397	Humans	DB12010
3094	PAPSS1	O43252	Humans	DB09462
3106	NME1	P15531	Humans	DB01593; DB09130; DB14487; DB14533
3121		Q9GV41	Trypanosoma brucei brucei	DB04272
3148	PGF	P49763	Humans	DB08885
3174		P44160	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	DB03754
3175	NEIL1	Q96FI4	Humans	DB01592; DB03754; DB09130; DB14488; DB14489; DB14490; DB14491; DB14501
3176	cpo	O31168	Streptomyces aureofaciens	DB03793
3177	chqB	Q5PXQ6	Nocardioides simplex	DB03793
3178	repA	Q52546	Pseudomonas syringae	DB03793
3179	HNF4G	Q14541	Humans	DB03796
3180		P83812	Geobacillus stearothermophilus	DB03796
3181	TRAPPC3	O43617	Humans	DB03796
3182		Q9X1H9	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	DB03796
3196	KCNMB2	Q9Y691	Humans	DB01110
3198	shp	P36275	Bacteriophage 21	DB03929
3200	NEU2	Q9Y3R4	Humans	DB00198; DB00558
3201	ANXA3	P12429	Humans	DB00591; DB09095
3206	nrdB	P69924	Escherichia coli (strain K12)	DB09462
3212	lamB	P02943	Escherichia coli (strain K12)	DB04173
3253		P11922	Yersinia pseudotuberculosis serotype I (strain IP32953)	DB04272
3254	12	P10930	Enterobacteria phage T4	DB04272
3255	purE	Q2QJL3	Acetobacter aceti	DB04272
3256	rplD	P38516	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	DB04272
3257	CPB1	P15086	Humans	DB04272
3258		P03277	HAdV-2	DB04272
3259	bfrA	O33833	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	DB04272
3260	sspA	Q7CL96	Yersinia pestis	DB04272
3261	rtcA	P46849	Escherichia coli (strain K12)	DB04272
3262	PLEKHA1	Q9HB21	Humans	DB04272
3263	fbpA	P21408	Serratia marcescens	DB04272
3264	ftsY	Q9WZ40	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	DB04272
3265	nusB	Q9X286	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	DB04272
